id,Date,Height,Size,Periods,Object Number,Discribtion,Element,type,URL
,1522-1566,Height: 130 millimetres,Diameter: 280 millimetresHeight: 130 millimetres,Ming dynasty,"PDF,C.627","Porcelain bowl. There is a wide band of floral roundels separated by pendant cloud forms in underglaze blue, above a band of overlapping petal panels around the exterior, and a central roundel with fruit and leaf on the interior. There is an inscription on base.",flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/41b53c60_575e_4ba4_b75d_a3bc006cf11e/mid_00390535_001.jpg
,1426-1435,Height: 80 millimetres,Diameter: 228 millimetresHeight: 80 millimetres,Ming dynasty,"PDF,B.682",Porcelain bowl. Underglaze blue with wide band of large scale fruit sprays above narrower band of small flower sprays. Band of classic scrolls around foot. Similar flower sprays around inside cavetto and central roundel with fruit spray. There is an inscription on the base.,fruit，flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/7137e286_9ee1_4161_bbd7_a3bc0069b6ae/mid_00389600_001.jpg
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
第六页,,,,,,,,,
,16thC-17thC,Height: 78 millimetres,Diameter: 380 millimetresHeight: 78 millimetres,Ming dynasty,"PDF,C.648","Large Zhangzhou Export Ware porcelain dish of Swatow type, with bracketed rim. Underglaze blue inside with a central roundel featuring ducks and waterfowl in a pond with aquatic plants and a grassy shoreline. Ogival panels around the cavetto alternating with egrets or lotus plants.","duck,egret,lotus,river",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/b1ec43b1_ce53_4bee_8275_a3bc006cfcee/mid_00390592_001.jpg
,1600-1644,Height: 97 millimetres,Diameter: 457 millimetresHeight: 97 millimetres,Ming dynasty,"PDF,C.645","Large porcelain dish of kraak type. Underglaze blue outside with ogival panels containing various flower sprays. Alternating wide and narrow panels with fruit or flower sprays, with two panels with a fisherman carrying a fish on a pole. In the centre, a pair of kneeling figures, possibly Persian, wearing long robes and headdresses with a single feather.","fruit,flower, fisherman",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/c40e6396_490d_4888_b94d_a3bc006cecd7/mid_00390584_001.jpg
,1403-1424,Height: 80 millimetres,Diameter: 444 millimetresHeight: 80 millimetres,Ming dynasty,"PDF,A.664","Large porcelain dish. Underglaze blue with band of scrolling flowers around inside and outside, with a large central roundel with a bunch of lotus flowers and leaves tied with a ribbon. Band of waves on the flattened rim. Base unglazed.","lotus,flowers,leaves,waves",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/1fded030_eeb6_4c9d_85bf_a3bb017ad0b2/mid_00387193_001.jpg
,1506-1521,Height: 35 millimetres,Diameter: 156 millimetresHeight: 35 millimetres,Ming dynasty,"PDF,B.686",Porcelain dish. Underglaze blue with wide band of lotus sprays alternating with roundels containing Arabic characters beneath narrow diaper band. Roundel in centre with four lotus sprays circling another smaller roundel with an Arabic inscription. There is an inscription on the base.,lotus,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2e28c308_ac03_41bb_a0ad_a3bc0069d624/mid_00389614_001.jpg
,1403-1424,Height: 29.20 centimetres,Diameter: 24.10 centimetresHeight: 29.20 centimetres,Ming dynasty,Franks.151,"Porcelain ewer decorated in underglaze blue. This ewer has a pear-shaped body, an out-turned rim, a long spout with curved tip attached to the body by a cloud-shaped strut and a broad curved handle with a small loop at the top for the attachment of a cover. It stands on a spreading foot ring and has a glazed base. It is painted beneath the glaze in rich dark cobalt-blue tones with a peony scroll around the neck and body, daylilies around the spout and plantain leaves encircling the neck.","peony,daylilies,plantain leaves",ewer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/43cc92c2_a853_4d24_96d3_a3ba015a9b38/mid_00262394_001.jpg
,1573-1620,Height: 192 millimetres,Height: 192 millimetresWidth: 145 millimetresDepth: 119 millimetres,Ming dynasty,"PDF,A.659",Porcelain ewer in the form of an elongated pomegranate with branch-shaped spout with applied leaves and star-shaped mouth rim. Underglaze blue with bulb-shaped panels with insects among flowers and open pomegranate fruits. Cloud and ruyi-shaped motifs on upper section. Base unglazed.,"insect,flower,pomegranate fruit,cloud",ewer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/a7443c6f_087d_4a4e_a39f_a3bb017ac0e6/mid_00387185_001.jpg
,1540-1600,Height: 34.50 centimetres,Diameter: 20 centimetresHeight: 34.50 centimetres,Ming dynasty,Franks.149,"Porcelain ewer with underglaze blue decoration. This ewer has a pear-shaped body, a dish mouth and a high foot with stepped edge. Its long straight spout is curved at the tip and is joined to the neck with an inclined strut with curled ends. The flat handle has an attachment at the top for securing the cover (now missing). It is painted in dark cobalt blue with mythical beasts in gardens with auspicious symbols, flowering plants, rocks and insects. On one side there is a cross-eyed lion and on the other a 'qilin'. Above is a narrow border of flower scrolls and a wide band with two peony sprays and insects edged above and below by narrow floral scroll borders; there are plantain leaves around the neck, classic scroll at the mouth rim and inverted lappets framing flowers around the foot. The handle and spout are decorated with flowers and lozenges. At the base of the spout is a grotesque mask with cross eyes, horns and down-turned mouth. Inside the high foot is a hare reserved in white on a blue ground.","mythical beasts, flower, rocks ,insects",ewer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/774004ed_cd68_46d2_99a4_a3ba01656e9a/mid_00265155_001.jpg
,1540-1566,Height: 31.80 centimetres,Height: 31.80 centimetresWidth: 20.80 centimetres,Ming dynasty,Franks.150,"Porcelain ewer decorated in underglaze blue. Of similar form to BM Franks.149, this ewer has a rounded body, dish mouth, high spreading foot, long straight spout supported by an angled strut with curlicue terminals fixed to the neck, and a handle with a looped attachment at the top. Painted in rich cobalt blue on either side is a fountain with a 'qilin' at its base, around the foot are stylized waves, encircling the neck are plantain leaves and the base is marked with a white hare on a blue ground within a double circle. Hexagonal lid with floral panels and foliate knob, marked '150' and associated with the ewer, though it doesn't seem to match.","fountain,waves,leaves,white hare",ewer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_16/80c866df_d29d_43b4_95c3_a3bb0112f191/mid_00355725_001.jpg
,1403-1424,Height: 446 millimetres,Height: 446 millimetresWeight: 7.20 kilograms,Ming dynasty,PDF.662,"Porcelain flask of flattened globular form, with wide long neck tapering in the middle. There is a three-clawed dragon in reserve against a background of waves in underglaze cobalt blue on the exterior, a wide band of scrolling lotus flowers on the neck, and scrolling lotus leaves below the mouth rim","dragon,lotus",flask,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/0245d5dc_c785_4ba5_83c5_a3be01075f3b/mid_00442878_001.jpg
,1403-1424,Height: 260 millimetres,Height: 260 millimetresWeight: 45 kilograms,Ming dynasty,PDF.674,"Porcelain double gourd flask with flattened lower bulb and two strap handles. There is a stylised flower with a yin and yang symbol surrounded by a chevron band in underglaze cobalt blue in the centre of lower bulb on each side, and a lotus spray on the base of each handle, with chevron bands and parallel lines on neck and upper bulb.","lotus,flower",flask,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/b7030db8_854b_4d81_8b48_a3bb016be148/mid_00382294_001.jpg
,18thC,Height: 184 millimetres,Height: 184 millimetresWidth: 128 millimetresDepth: 78 millimetres,Qing dynasty,"PDF,C.614",Porcelain flask of baoyue form with two strap handles. Underglaze blue with a roundel on each side with a four-square five-clawed dragon amid flames and stylised clouds with a flaming pearl at the centre. There is an inscription on the base.,"dragon,clouds,pearl",flask,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/9c22bd49_68a1_4861_a89a_a3bc006c93b4/mid_00390440_001.jpg
,1403-1424,Height: 242 millimetres,Height: 242 millimetresWidth: 198 millimetresDepth: 102 millimetres,Ming dynasty,"PDF,B.696",Porcelain flask of baoyue form. Two strap-handles attached to the shoulder. Underglaze blue with dense geometrical pattern with central star-shaped motif and numerous hexagonal and triangular panels. Cloud collars with flowers around mouth. Bands of tricorn patterns and detached flowers around foot. Unglazed base.,"cloud,flower",flask,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/785d5991_19b8_44d6_b066_a3be00fa8957/mid_00439081_001.jpg
,1403-1424,Height: 308 millimetres,Height: 308 millimetresWidth: 254 millimetresDepth: 150 millimetres,Ming dynasty,"PDF,A.612",Porcelain flask of baoyueping form with two cloud-shaped handles attached at the sides of the neck. Underglaze blue scene of a song bird on a flowering prunus branch on one side and a peach branch on the other. Stylised flower sprays on neck.,"flower,bird,tree",flask,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/d5b43f3b_4b16_4f32_8092_a3be0106e8a4/mid_00442839_001.jpg
,1573-1620,Height: 89 millimetres,Diameter: 216 millimetresHeight: 89 millimetres,Ming dynasty,"PDF,A.654","Porcelain flower-pot-stand in form of tripod censer. Underglaze blue in pencilled style with phoenixes, pheasants and cranes among flowers and trees, including peony, bamboo and pine. There is an inscription on the base.","phoenixe,pheasant,crane,flower,tree, peony,bamboo,pine",flower-pot-stand,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/7823895c_7ac3_46a1_ba5f_a3bb017a9cc7/mid_00387170_001.jpg
,1488-1505,Height: 31 centimetres,Diameter: 24 centimetresHeight: 31 centimetres,Ming dynasty,"19,720,518.10","Porcelain 'guan' jar with underglaze blue decoration. This porcelain wine jar has broad rounded shoulders and a short neck with a thickened edge. Its sides taper in, then flare slightly at the foot. Its decoration is divided into bands with phoenix on a stylized lotus scroll ground, with a band of lappets below and a 'ruyi' collar around the neck containing single lotus flowers growing above a lotus head with foliage. In between these are beaded gadroons and half flower heads. Above is a border of 'ruyi' heads and a simplified key-fret design around the neck. Inside the jar is glazed. The base is unglazed and has been filled in where a large section was missing.","phoenixe,lotus",guan,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/e5a54bb0_7208_400d_85e9_a3ba0156c935/mid_00261098_001.jpg
,1330-1368,Height: 14 centimetres,Height: 14 centimetres,Yuan dynasty,"19,840,202.34","Ovoid guan jar and cover with underglaze blue decoration. This ovoid jar has an inward-sloping neck, a domed overhanging cover with a lotus-bud finial and a flat unglazed base. Beneath the greenish-blue glaze it is painted in cobalt blue with four chrysanthemums and their scrolling foliage, around the neck with a variant of the classic scroll and around the lower half with inverted large and small lotus petals, the larger ones with conch-like squiggles. The domed cover is painted with petals radiating in two layers from the central finial. The construction of the cover is noteworthy: so that it fits snugly into the jar, a two-centimetre-long tapering cone section is fitted inside the cover and the neck fits between this and its lip.","chrysanthemum,lotus",guan,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/eaa7079f_9129_4e16_81a7_a3ba015ce4e1/mid_00262834_001.jpg
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
第七页,,,,,,,,,
,1403-1424,Height: 6.50 centimetres,Diameter: 10.80 centimetresHeight: 6.50 centimetres,Ming dynasty,"19,470,712.17","Porcelain bowl with underglaze blue decoration. This small bowl has deep rounded sides and a gently everted rim. It stands on a high foot ring and has an unglazed base. It is painted in rich tones of underglaze cobalt blue, and inside in the centre with a lingzhi fungus spray in a double-ring medallion and with a band of classic scroll at the rim. Outside two peach branches, both bearing both fruits and blossom, are delicately painted. Great attention to detail is apparent in the mottled appearance of the peach skin and the contrasting textures of the rough leaves and soft five-petalled flowers. Around the foot is a single horizontal line.",fruit,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_19/25fd26df_2b39_4dd8_9e0e_a3ba013a98b4/mid_00253307_001.jpg
,1600-1620 (circa),Height: 4.50 centimetres,Diameter: 8.50 centimetresHeight: 4.50 centimetres,Ming dynasty,"1947,0712.174.a-b","Two porcelain bowls with underglaze blue decoration. These finely potted bowls have rounded sides which flare outwards towards the rim and a splayed foot. Beneath a blue-tinged glaze they are delicately painted in very pale blue tones of local cobalt with fine outlines, showing a wave in a medallion inside and a squirrel in grape vine motifs outside (see BM 1936.1012.238). The base has a six-character Xuande reign mark in a double ring.",fruit mammal,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/81922427_9adb_46c0_9acd_a3ba015f5939/mid_00263537_001.jpg
,1500-1644,Height: 63 millimetres,Diameter: 119 millimetresHeight: 63 millimetres,Ming dynasty,"PDF,B.690",Porcelain bowl. Underglaze blue with wide band of numerous shou (long life) characters in regular pattern. There is an inscription on the base.,words,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/9114b7f0_089a_4864_b04c_a3bc0069faf1/mid_00389632_001.jpg
,1643,Height: 4.30 centimetres,Diameter: 8.20 centimetresHeight: 4.30 centimetres,Ming dynasty,"19,851,119.13","Porcelain cup with underglaze blue decoration. Plain inside, it is painted with flowers, rocks and insects outside and the base carries an apocryphal six-character Chenghua reign mark.",insect,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/8c2b0108_5578_46c6_b0c4_a3ba015b24c0/mid_00262389_001.jpg
,1662-1700,Height: 90 millimetres,Diameter: 173 millimetresHeight: 90 millimetres,Qing dynasty,"PDF,A.620","Circular porcelain box. Underglaze blue with a wide band of mounted warriors in a rocky landscape on lower part and scene of ladies in a garden on upper part. Scholar with cassia branch on a carp turning into a dragon on the upper inside, and lady in garden with boys on lower. There is an inscription on the base.",tree people bridge,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/0816a976_9db6_41e7_9295_a3bb0179f0c0/mid_00387116_001.jpg
,1628-1644,Height: 25 millimetres,iameter: 146 millimetresHeight: 25 millimetres,Ming dynasty,"PDF,C.647","Porcelain dish with wide flattened rim. There are two small figures crossing a bridge in a watery landscape in a double circle in underglaze blue in the centre, and six cross-patterned circles on the rim. There is an inscription on the base.",tree people bridge,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/4810dc10_65e8_4b12_b1ad_a3bc006cf899/mid_00390590_001.jpg
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
第八页,,,,,,,,,
,1630s-1640s,Height: 25.10 centimetres,Diameter: 34.40 centimetresHeight: 25.10 centimetres,Ming dynasty,Franks.1382.+,Water jar (mizusashi) and lid with design of children and birds in a landscape. Porcelain with underglaze cobalt blue. Shonzui ware.,"children,bird",guan,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_14/9e202294_fe23_497f_8eba_a3b700f681fc/mid_00076755_001.jpg
,1690-1699,Height: 11.90 centimetres,Height: 11.90 centimetres,Qing dynasty,"19,920,609.20",Porcelain mustard pot with raised foot decorated in underglaze blue cobalt. Body decorated with riverside and landscape scenes.,river,pot,https://media.britishmuseum.org/media/Repository/Documents/2014_10/16_14/3fc352d0_aaba_49dd_96be_a3c600e6bd67/mid_01015418_001.jpg
,1690-1699,Height: 9 centimetres,Height: 9 centimetres,Qing dynasty,"1992,0606.1-3","Three pot with lids. Globular mustard pot made of porcelain with underglaze of blue cobalt. One pot's body is decorated with a mountain landscape scene. Two are decorated with scrolling foliage and flowers, their necks are ringed with yue and ri characters and indentations on the rims. The two pots with handles have lion knobs.","mountain,foliage,flower,lion",pot,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_17/b720fc0f_1e2e_4064_814f_a3bb0124b0eb/mid_00359673_001.jpg
,18thC,Height: 10 millimetres,Diameter: 42 millimetresHeight: 10 millimetres,Qing dynasty,"PDF,C.633",Small porcelain snuff saucer. There is a large central flower against dense ground of leaves and smaller flowers in underglaze blue on the interior. Auspicious emblem on base.,"flower,leaves",saucer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/e0c85385_f91e_4200_879d_a3bc006d1b50/mid_00390556_001.jpg
,1662-1722,Height: 25 millimetres,Diameter: 135 millimetresHeight: 25 millimetres,Qing dynasty,"PDF,B.651","Porcelain porcelain saucer. Underglaze blue with seascape around cavetto including European galleon, mermaid playing a violin, rocks, clouds, a building and waves. French inscription below the rim, and flower head with flying birds in double circle in the centre. Four auspicious emblems on the exterior. There is an inscription on the base.","galleon,mermaid,violin, rock, cloud,building,wave,flower,bird",saucer,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/dae9ae7a_9d72_472d_8028_a3bc00696899/mid_00389512_001.jpg
,1426-1435,Height: 153 millimetres,Diameter: 161 millimetresHeight: 153 millimetres,Ming dynasty,"PDF,B.685","Porcelain spittoon of zhadou form. Underglaze blue with wide band of turbulent waves with rocks around the body. Tall plaintain leaves on neck, above reduced cloud collars. Inscription on channelled base.","wave,rock,leaves",spittoon,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/eae58bb4_4552_4fd7_8445_a3bc0069d2d5/mid_00389612_001.jpg
,1426-1435,Height: 113 millimetres,Diameter: 166 millimetresHeight: 113 millimetres,Ming dynasty,"PDF,A.602",Large stem porcelain cup. Underglaze cobalt blue with scrolling fruit spray roundels above band of overlapping lotus panels. Two parallel blue lines around rim and above foot. Inscription inside porcelain bowl.,"fruit,flower,lotus",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/a798298f_f768_475a_ad26_a3bb017a1627/mid_00387088_001.jpg
,1522-1566,Height: 115 millimetres,Diameter: 121 millimetresHeight: 115 millimetres,Ming dynasty,"PDF,A.685","Stem porcelain cup. Underglaze blue with garden landscape including rocks, trees and flying birds. Lotus petals and plantain leaves in pencilled style on stem. Roundel with five-clawed dragon among clouds inside. There is an inscription on the base.","rock,tree,bird,lotus",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/891c41e3_2300_4fe9_a1ac_a3bb017b4846/mid_00387350_001.jpg
,1662-1800,Height: 76 millimetres,Diameter: 82 millimetresHeight: 76 millimetres,Qing dynasty,"PDF,C.600",Porcelain stem cup. Underglaze blue with two five-clawed dragons running horizontally around the porcelain cup on dense blue wave ground. Similar waves on stem with tall rocks rising up. Raised ring at top of stem with scrolling ruyi type motifs. Pseudo-Sanskrit inscription surrounding a single character inside the centre. There is an inscription on the base.,"dragon,wave,rock",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/5712ebfd_03d8_4554_b047_a3bc006ca73a/mid_00390398_001.jpg
,16thC,Height: 92 millimetres,Diameter: 119 millimetresHeight: 92 millimetres,Ming dynasty,"PDF,B.609","Stem porcelain cup. Underglaze blue with three scenes of immortals (Zhongli quan, Han Xiangzi and Li Tieguai) with attendants on the porcelain cup, all in rocky landscapes. Emblems separated by dots or pearls on stem. Roundel inside with scholar seated in a garden reading. Horizontal inscription inside stem.","scholar,rock",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/430c8e17_176d_4b8e_9737_a3bc0068511e/mid_00389045_001.jpg
,1426-1435,Height: 92 millimetres,Diameter: 101 millimetresHeight: 92 millimetres,Ming dynasty,"PDF,B.669","Porcelain stem cup. Underglaze blue with wide band of scrolling flowers including lotus, chrysanthemum and camellia. Band of scrolling lingzhi on stem and narrow band of detached flower heads above base. Inscription inside in double circle.",flower,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/bdf4b10f_765f_4c1a_80d4_a3bc006964b0/mid_00389560_001.jpg
,1600-1620,Height: 6.20 centimetres,Diameter: 5.50 centimetresHeight: 6.20 centimetres,Ming dynasty,"19,430,215.14","Porcelain stem cup with underglaze blue decoration. This tiny archaistic stem cup has a round bowl and a flaring stem with a recessed base. It is delicately decorated with pale blue cobalt, inside with a fruiting peach branch in a double ring medallion and outside with three plants including convolvulus or morning glory.","peach branch,plant",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/e80a18b3_6d32_4320_852c_a3ba01606f72/mid_00263766_001.jpg
,1426-1435,Height: 90 millimetres,Diameter: 101 millimetresHeight: 90 millimetres,Ming dynasty,"PDF,A.635",Stem porcelain cup. Underglaze blue waves with incised dragons in reserve. Groups of rocks rising from base. Inscription in roundel inside.,"wave,rock,dragon",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/c5581d16_8122_457b_a205_a3bb017a1619/mid_00387137_001.jpg
,1426-1435,Height: 90 millimetres,Diameter: 103 millimetresHeight: 90 millimetres,Ming dynasty,"PDF,B.638",Small stem porcelain cup. Underglaze blue with two winged beasts resembling a lion and an elephant in waves. Wide band of waves on stem. Inscription in central roundel inside.,"lion,elephant ,wave",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/15_16/b8a07fdb_9834_4c7d_82ff_a3c501099770/mid_00954543_001.jpg
,1573-1620,Height: 87 millimetres,Diameter: 100 millimetresHeight: 87 millimetres,Ming dynasty,"PDF,C.601",Porcelain stem cup. Underglaze blue with various animals and flying beasts on dense pencilled wave background covering both porcelain cup and stem. Inscription in central roundel inside. Base unglazed.,"animal,bird",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/85c834a0_d05b_49cf_afde_a3bc006cb94e/mid_00390406_001.jpg
,1488-1505,Height: 112 millimetres,Diameter: 167 millimetresHeight: 112 millimetres,Ming dynasty,"PDF,A.668","Stem porcelain cup. Underglaze blue with wide band of aquatic plants rising from waves. Bands of waves, clouds and squared spirals on stem. White conch shell on waves in roundel in the centre and four flying horses and clouds around the sides.","plant,wave,cloud",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/354c16e3_7c12_435f_bf2c_a3bb017a909e/mid_00387213_001.jpg
,1540-1566,Height: 11 centimetres,Diameter: 13.20 centimetresHeight: 11 centimetres,Ming dynasty,"19,470,712.22","Porcelain stem cup with underglaze blue decoration. This robust stem cup has a rounded bowl and a tall hollow flared stem. It is painted beneath the glaze in a vivid cobalt blue which has smudged in places. At the bottom of the bowl there is a double-edged roundel encircling a design of a large fish leaping from waves to the sun. Lotus flowers are arranged in a zigzag border around the rim. Outside the bowl is decorated with fish in different attitudes, leaping from a pond with water weeds and clumps of flowering lotus above a lappet border. The stem is painted with stylized rocks, waves and bamboo. Inside the stem is glazed.","wave,flower,lotus",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/e1b6a1f1_6686_42a0_b035_a3ba016c9f11/mid_00266985_001.jpg
,1573-1620,Height: 80 millimetres,Diameter: 84 millimetresHeight: 80 millimetres,Ming dynasty,"PDF,A.670",Stem porcelain cup. Underglaze blue with numerous actual and mythical animals in reserve against blue waves. Same decoration continues on stem. Central roundel with reserved conch shell on waves inside. There is an inscription on the base.,"wave,animal",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/e016857c_0685_4c58_bd38_a3bb017a9847/mid_00387217_001.jpg
,1426-1435,Height: 10.50 centimetres,Diameter: 8 centimetresHeight: 10.50 centimetres,Ming dynasty,"19,430,215.12","Thickly potted globular porcelain stem bowl with underglaze blue decoration. This thickly potted globular stem bowl has a narrow inverted mouth and a high spreading hollow stem with a stepped edge, glazed inside. A continuous scroll of daylilies with their distinctive star-like flowers is depicted in shades of fuzzy blue cobalt with a zigzag petal border above and petal bands below and around the foot. The edge of the foot is decorated with individual dots. It is marked with a horizontal six-character Xuande reign mark in the floral section read from right to left. Inside in the centre is a single lotus flower in a medallion.","daylily,lotus,flower",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/8fb233d8_605c_4664_9b6d_a3ba015601be/mid_00260919_001.jpg
,1426-1435,Height: 103 millimetres,Diameter: 98 millimetresHeight: 103 millimetres,Ming dynasty,"PDF,A.636",Stemmed porcelain bowl with rounded body. Form based on ancient bronze dou. Underglaze blue with wide band of scrolling day lilies above petals rising from the base. Lotus roundel in a double circle inside. Horizontal inscription below external mouth rim.,"daylily,lotus,flower",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/d80fa968_e128_4812_b47e_a3bb017a19f9/mid_00387139_001.jpg
,1426-1435,Height: 142 millimetres,Height: 142 millimetres,Ming dynasty,PDF.688,"Porcelain globular tankard with tall straight neck. There are scrolling lotus flowers in underglaze cobalt blue around the body, a band of squared spirals at the shoulder, and lappets and stylised leaves on the neck. There is a mark on the shoulder.","lappet,lotus,leaves",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/5310cec3_82ba_4c32_8b28_a3bb016c095a/mid_00382363_001.jpg
,1403-1424,Height: 14 centimetres,Height: 14 centimetresWidth: 14.20 centimetres,Ming dynasty,"19,500,403.10","Porcelain tankard decorated in underglaze blue. This tankard has a globular body and a cylindrical neck with a raised band around the rim and collar. Its S-shaped handle terminates in the head and tail of a sinewy dragon which seems to bite the rim of the tankard and whose tail curls back on itself. The circular unglazed base is recessed. It is painted in rich tones of cobalt blue beneath the glaze with stylized lotus scroll, including budding blooms and leaves, around the body. The neck is decorated with white-crested waves. Around the foot is an unusual border of individual circular motifs divided in quarters and separated by vertical lines. The collar is decorated with a band of bifurcated scroll work and the rim with a patterned border.","dragon,wave,lotus",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_17/d94179d6_aab2_413c_a270_a3df011f67c3/mid_01529482_001.jpg
,1426-1435,Height: 136 millimetres,Height: 136 millimetresWidth: 121 millimetres,Ming dynasty,"PDF,B.639",Small porcelain tankard with round body and strap handle. Underglaze blue with wide band of scrolling flowers between lotus petals. Relief band at bottom of neck with stylised petals. Horizontal inscription on body.,"flower,lotus",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/10820196_9f5d_4d4e_8a0b_a3bc00688e9d/mid_00389168_001.jpg
,1600-1620,Height: 3.20 centimetres,Diameter: 8.20 centimetresHeight: 3.20 centimetres,Ming dynasty,"19,471,018.20","Porcelain tazza with underglaze blue decoration. Unique in the British Museum's collections, this miniature tazza or offering dish has an unusual angular profile. Its shallow dish has rounded sides and an everted rim. It stands on a low flared stem with a recessed base. Its decoration is only outlined and not infilled in underglaze cobalt blue, placing it with a group of other late Wanli period porcelains with 'pencil-style' decoration. Inside a sprig of hollyhock and a chrysanthemum spray are depicted, with fabric, draped rocks and insects in a double ring, and in the cavetto a bird in flowering branch motif is repeated once. The outside is plain apart from four outlined 'lingzhi' fungi on the dish and two on the stem. The base carries an apocryphal six-character Chenghua mark in a double circle.","hollyhock,chrysanthemum,fabric,rock, insect,bird",cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/14b9f9d5_1362_4f47_a02c_a3ba015d362d/mid_00262915_001.jpg
,17thC,Height: 50 millimetres,Diameter: 93 millimetresHeight: 50 millimetres,Ming dynasty,"PDF,B.610",Set of five tea-bowls. Underglaze blue with stylised flower sprays supporting shou characters. On the interior of each porcelain bowl is a similar flower spray and shou character in a double circle. There is an inscription on the base.,flower,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_3/9f7c18c0_9207_41d5_86e0_a3c10035952d/mid_00592870_001.jpg
,1690-1699,Height: 13.20 centimetres,Height: 13.20 centimetres,Qing dynasty,"19,920,608.10",Teapot. Hexagonal decorated with underglaze blue cobalt. Lid has lion knob. Body decorated with riverside scenes. Made of porcelain.,"lion,river",pot,https://media.britishmuseum.org/media/Repository/Documents/2014_10/16_14/8b4e19cc_2ae8_40bf_905c_a3c600e712c2/mid_01015498_001.jpg
,1488-1505,Height: 626 millimetres,Height: 626 millimetres,Ming dynasty,PDF.680,"Porcelain temple-vase of bronze form with long neck, thick mouth rim, and two animal mask handles on the neck. There is a band of rocks and waves in underglaze cobalt blue rising from the base, a band of scrolling lotus leaves around the body, and a wide band with two cloud collars filled with flowers at the shoulder, below a band of plantain leaves. There is an inscription around the mouth rim.","animal,lotus,wave",vase,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/cd7b24d4_119d_4b6b_9a7e_a3bb016babcf/mid_00382321_001.jpg
